Rk,Pk,Player,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP_per_game,PTS_per_game,TRB_per_game,AST_per_game,WS,,,
1,1,Greg Oden,3,105,2028,840,656,51,0.574,NULL,0.658,19.3,8,6.2,0.5,7.3,0.174,-0.4,0.8
2,2,Kevin Durant,18,1139,41812,30972,7911,4963,0.502,0.39,0.882,36.7,27.2,6.9,4.4,177.3,0.204,6.4,88.1
3,3,Al Horford,19,1150,36179,14775,8994,3651,0.508,0.376,0.764,31.5,12.8,7.8,3.2,117.5,0.156,2.8,44.2
4,4,Mike Conley,19,1193,37006,16590,3493,6695,0.438,0.389,0.826,31,13.9,2.9,5.6,106.8,0.139,2.4,40.9
5,5,Jeff Green,18,1224,33288,14429,4885,1784,0.45,0.338,0.804,27.2,11.8,4,1.5,56,0.081,-1.4,4.6
6,6,Yi Jianlian,5,272,6038,2148,1339,192,0.404,0.333,0.78,22.2,7.9,4.9,0.7,3.1,0.025,-4.3,-3.5
7,7,Corey Brewer,13,819,18771,7097,2287,1250,0.425,0.284,0.713,22.9,8.7,2.8,1.5,22.5,0.058,-1.6,2
8,8,Brandan Wright,10,428,6949,2976,1560,199,0.607,0,0.674,16.2,7,3.6,0.5,26.2,0.181,2.3,7.5
9,9,Joakim Noah,13,672,18646,5881,6058,1907,0.491,0,0.7,27.7,8.8,9,2.8,61.9,0.159,2.5,20.9
10,10,Spencer Hawes,10,684,15541,5932,3893,1271,0.457,0.35,0.716,22.7,8.7,5.7,1.9,22.6,0.07,-1.1,3.4
11,11,Acie Law,4,188,2385,725,195,309,0.413,0.235,0.778,12.7,3.9,1,1.6,1.6,0.032,-3.9,-1.1
12,12,Thaddeus Young,17,1172,33012,14225,6614,2135,0.503,0.328,0.661,28.2,12.1,5.6,1.8,71.9,0.105,0.5,20.7
13,13,Julian Wright,4,231,3049,907,531,182,0.499,0.262,0.584,13.2,3.9,2.3,0.8,3.9,0.061,-0.5,1.2
14,14,Al Thornton,4,296,8274,3527,1233,353,0.452,0.293,0.747,28,11.9,4.2,1.2,6.1,0.035,-3.5,-3.2
15,15,Rodney Stuckey,10,651,17890,8185,1912,2333,0.423,0.3,0.824,27.5,12.6,2.9,3.6,28.7,0.077,-0.9,4.9
16,16,Nick Young,12,720,16419,8194,1427,687,0.418,0.376,0.836,22.8,11.4,2,1,18.6,0.054,-2.2,-0.8
17,17,Sean Williams,4,137,1978,581,472,47,0.511,0,0.624,14.4,4.2,3.4,0.3,3,0.073,-3.1,-0.6
18,18,Marco Belinelli,13,860,19548,8370,1769,1429,0.424,0.376,0.846,22.7,9.7,2.1,1.7,30.5,0.075,-1.3,3.3
19,19,Javaris Crittenton,2,113,1853,595,276,201,0.442,0.231,0.638,16.4,5.3,2.4,1.8,0.1,0.002,-4.2,-1
20,20,Jason Smith,11,616,10029,3777,2075,453,0.468,0.333,0.783,16.3,6.1,3.4,0.7,14.1,0.067,-2.9,-2.4
21,21,Daequan Cook,6,328,5993,2114,703,243,0.369,0.359,0.813,18.3,6.4,2.1,0.7,4.9,0.039,-2.7,-1.1
22,22,Jared Dudley,14,904,20117,6633,2849,1394,0.463,0.393,0.732,22.3,7.3,3.2,1.5,43,0.103,0.2,11
23,23,Wilson Chandler,12,676,20287,8463,3574,1205,0.443,0.341,0.77,30,12.5,5.3,1.8,29,0.069,-1.3,3.5
24,24,Rudy Fernández,4,249,5965,2254,608,554,0.399,0.36,0.84,24,9.1,2.4,2.2,14.2,0.114,1.7,5.6
25,25,Morris Almond,3,38,361,119,46,12,0.381,0.292,0.743,9.5,3.1,1.2,0.3,0,0.005,-6.1,-0.4
26,26,Aaron Brooks,10,645,13439,6259,1079,1925,0.413,0.37,0.837,20.8,9.7,1.7,3,19.2,0.069,-1.2,2.7
27,27,Arron Afflalo,11,762,20829,8198,2176,1386,0.45,0.386,0.825,27.3,10.8,2.9,1.8,33.5,0.077,-1.5,2.4
