Rk,Pk,Player,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP_per_game,PTS_per_game,TRB_per_game,AST_per_game,WS
1,1,Blake Griffin,13,765,24384,14513,6109,3055,0.493,0.328,0.696,31.9,19,8,4,81.1
2,2,Hasheem Thabeet,5,224,2357,483,595,27,0.567,,0.578,10.5,2.2,2.7,0.1,4.8
3,3,James Harden,17,1171,40713,28224,6587,8484,0.439,0.363,0.862,34.8,24.1,5.6,7.2,176.9
4,4,Tyreke Evans,10,594,18242,9347,2720,2852,0.44,0.323,0.757,30.7,15.7,4.6,4.8,28.4
5,5,Ricky Rubio,12,698,20694,7570,2830,5160,0.388,0.324,0.843,29.6,10.8,4.1,7.4,42.3
6,6,Jonny Flynn,3,163,3738,1504,307,634,0.4,0.338,0.809,22.9,9.2,1.9,3.9,-1.1
7,7,Stephen Curry,17,1042,35472,25832,4878,6604,0.471,0.423,0.912,34,24.8,4.7,6.3,144.5
8,8,Jordan Hill,8,409,7692,3232,2389,322,0.497,0.136,0.699,18.8,7.9,5.8,0.8,16.4
9,9,DeMar DeRozan,17,1208,41924,25678,5270,4944,0.47,0.302,0.843,34.7,21.3,4.4,4.1,109.9
10,10,Brandon Jennings,9,555,16844,7801,1659,3151,0.387,0.345,0.796,30.3,14.1,3,5.7,29.9
11,11,Terrence Williams,4,153,2922,1085,545,364,0.412,0.317,0.659,19.1,7.1,3.6,2.4,-0.2
12,12,Gerald Henderson,8,535,13854,5987,1716,1009,0.44,0.327,0.793,25.9,11.2,3.2,1.9,18.3
13,13,Tyler Hansbrough,7,428,7233,2881,1808,181,0.439,0.136,0.738,16.9,6.7,4.2,0.4,20.2
14,14,Earl Clark,6,261,3630,1138,778,134,0.403,0.328,0.664,13.9,4.4,3,0.5,2.9
15,15,Austin Daye,6,293,4132,1522,764,212,0.402,0.351,0.778,14.1,5.2,2.6,0.7,4.5
16,16,James Johnson,16,786,15561,5830,2716,1610,0.473,0.3,0.678,19.8,7.4,3.5,2,27.4
17,17,Jrue Holiday,17,1049,34561,16622,4403,6539,0.462,0.369,0.788,32.9,15.8,4.2,6.2,75.5
18,18,Ty Lawson,8,551,16088,6977,1506,3316,0.46,0.359,0.77,29.2,12.7,2.7,6,42.1
19,19,Jeff Teague,12,826,22164,10061,1989,4585,0.444,0.36,0.844,26.8,12.2,2.4,5.6,52.4
20,20,Eric Maynor,5,267,3896,1141,348,760,0.392,0.35,0.721,14.6,4.3,1.3,2.8,3.3
21,21,Darren Collison,11,711,20833,8861,1889,3545,0.471,0.394,0.853,29.3,12.5,2.7,5,49.9
22,22,Victor Claver,3,80,1072,258,178,56,0.398,0.293,0.585,13.4,3.2,2.2,0.7,0.2
23,23,Omri Casspi,10,588,11959,4642,2355,662,0.454,0.368,0.678,20.3,7.9,4,1.1,19.6
24,24,Byron Mullens,5,189,3446,1398,790,153,0.408,0.319,0.706,18.2,7.4,4.2,0.8,0.6
25,25,Rodrigue Beaubois,4,182,2896,1286,338,374,0.439,0.325,0.81,15.9,7.1,1.9,2.1,4.8
26,26,Taj Gibson,16,1002,23069,8397,5727,946,0.517,0.266,0.712,23,8.4,5.7,0.9,60.2
27,27,DeMarre Carroll,11,578,13675,5150,2454,726,0.43,0.358,0.741,23.7,8.9,4.2,1.3,29.5
28,28,Wayne Ellington,13,770,16100,6190,1643,852,0.41,0.382,0.843,20.9,8,2.1,1.1,21.1
29,29,Toney Douglas,8,394,7511,3009,875,889,0.404,0.354,0.824,19.1,7.6,2.2,2.3,12.1
30,30,Christian Eyenga,2,51,1049,320,137,40,0.411,0.277,0.611,20.6,6.3,2.7,0.8,-0.4
31,31,Jeff Ayres,6,237,2322,690,632,99,0.553,0.4,0.776,9.8,2.9,2.7,0.4,6.3
32,32,Jermaine Taylor,2,65,786,351,108,48,0.441,0.284,0.73,12.1,5.4,1.7,0.7,0.2
33,33,Dante Cunningham,10,715,14875,4133,2676,506,0.469,0.345,0.649,20.8,5.8,3.7,0.7,24.9
34,34,Sergio Llull,,,,,,,,,,,,,,
35,35,DaJuan Summers,4,83,820,278,82,29,0.384,0.367,0.642,9.9,3.3,1,0.3,-0.1
36,36,Sam Young,4,249,3966,1436,573,180,0.442,0.28,0.742,15.9,5.8,2.3,0.7,5.2
37,37,DeJuan Blair,7,424,7054,2865,2153,349,0.524,0,0.608,16.6,6.8,5.1,0.8,19
38,38,Jon Brockman,3,150,1570,320,472,49,0.488,0,0.618,10.5,2.1,3.1,0.3,3.7
39,39,Jonas Jerebko,9,635,11323,3919,2522,525,0.457,0.363,0.77,17.8,6.2,4,0.8,25.8
40,40,Derrick Brown,3,171,2554,895,413,119,0.515,0.317,0.637,14.9,5.2,2.4,0.7,4.5
41,41,Jodie Meeks,10,539,12110,4988,1120,583,0.42,0.373,0.879,22.5,9.3,2.1,1.1,24.3
42,42,Patrick Beverley,12,666,17689,5520,2729,2245,0.413,0.371,0.76,26.6,8.3,4.1,3.4,40.2
43,43,Marcus Thornton,8,483,11299,5750,1348,677,0.425,0.358,0.83,23.4,11.9,2.8,1.4,20
44,44,Chase Budinger,7,407,7998,3198,1240,473,0.43,0.352,0.797,19.7,7.9,3,1.2,13.9
45,45,Nick Calathes,2,129,2011,590,243,353,0.441,0.288,0.581,15.6,4.6,1.9,2.7,2.6
46,46,Danny Green,15,832,20899,7204,2827,1277,0.421,0.4,0.805,25.1,8.7,3.4,1.5,49.3
47,47,Henk Norel,,,,,,,,,,,,,,
48,48,Taylor Griffin,1,8,32,10,2,1,0.4,0,0.5,4,1.3,0.3,0.1,0
49,49,Sergiy Gladyr,,,,,,,,,,,,,,
50,50,Goran Suton,,,,,,,,,,,,,,
51,51,Jack McClinton,,,,,,,,,,,,,,
52,52,A.J. Price,6,261,3929,1523,377,567,0.38,0.316,0.742,15.1,5.8,1.4,2.2,4.7
53,53,Nando De Colo,2,119,1414,453,211,203,0.429,0.363,0.835,11.9,3.8,1.8,1.7,2.4
54,54,Robert Vaden,,,,,,,,,,,,,,
55,55,Patty Mills,16,921,18316,8004,1491,2010,0.423,0.385,0.857,19.9,8.7,1.6,2.2,35.9
56,56,Ahmad Nivins,,,,,,,,,,,,,,
57,57,Emir Preldžić,,,,,,,,,,,,,,
58,58,Lester Hudson,4,57,594,268,77,71,0.375,0.277,0.806,10.4,4.7,1.4,1.2,0.2
59,59,Chinemelu Elonu,,,,,,,,,,,,,,
60,60,Robert Dozier,,,,,,,,,,,,,,
